post_date,account_username,comment_username,comment_text,likes_comment,comment_time,caption,post_url,total_post_likes,total_post_comments
2023-01-01,bisniscom,user_7265,Suku bunga berapa target akhir tahun? [6734],0,2023-01-01 05:31:00.000000000,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock0/,2989,250
2023-01-01,kontannews,user_84104,Saham menguntungkan untuk jangka panjang. [6311],1,2023-01-01 01:20:22.196739891,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock1/,2560,360
2023-01-01,bisniscom,user_12394,Suku bunga hold dulu wait and see. [2528],9,2023-01-01 12:43:44.393479782,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock2/,4399,394
2023-01-01,idx_channel,user_81077,Kondisi ekonomi rebound fundamental kuat. [1775],2,2023-01-02 02:27:06.590219673,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock3/,5208,104
2023-01-01,katadatacoid,user_72211,Asing bearish resesi di depan mata. [7873],14,2023-01-01 20:29:28.786959565,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock4/,5738,317
2023-01-01,bisniscom,user_10268,Kebijakan BI bullish untuk jangka panjang. [1878],4,2023-01-01 08:28:50.983699456,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock5/,5343,123
2023-01-01,cnbcindonesia,user_3568,Kebijakan BI meroket mantap! #cuan [9006],7,2023-01-01 16:38:13.180439347,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock6/,6030,393
2023-01-01,cnbcindonesia,user_53251,Market bearish resesi di depan mata. [7184],9,2023-01-01 19:48:35.377179239,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock7/,4520,281
2023-01-01,idx_channel,user_80309,Suku bunga tolong jelaskan min? [9110],9,2023-01-02 00:55:57.573919130,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock8/,6495,333
2023-01-01,kontannews,user_51015,Market crash pada kabur. [2484],5,2023-01-01 18:09:19.770659021,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock9/,6794,358
2023-01-01,idx_channel,user_34827,Kebijakan BI rebound waktunya serok bawah 🚀 [5636],14,2023-01-02 06:50:41.967398913,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock10/,5501,415
2023-01-01,bisniscom,user_27105,Inflasi hold dulu lebih detail? [2663],0,2023-01-02 07:37:04.164138804,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock11/,4741,346
2023-01-01,kontannews,user_59053,Kebijakan boncos cut loss mending. [8526],3,2023-01-01 22:29:26.360878695,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock12/,6945,284
2023-01-01,katadatacoid,user_55384,Ekonomi turun tajam cut loss mending. [4763],0,2023-01-01 20:00:48.557618587,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock13/,3081,297
2023-01-01,cnbcindonesia,user_1854,Suku bunga apa dampaknya bulan ini. [5737],1,2023-01-02 10:26:10.754358478,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock14/,6433,406
2023-01-01,idx_channel,user_99506,Porto bearish pada kabur. [4510],2,2023-01-01 21:16:32.951098369,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock15/,4198,438
2023-01-01,bisniscom,user_52663,Suku bunga apa dampaknya min? [5282],0,2023-01-02 02:33:55.147838261,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock16/,3903,231
2023-01-01,katadatacoid,user_85896,Ekonomi merah merona pada kabur. [9680],2,2023-01-02 01:43:17.344578152,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock17/,4216,267
2023-01-01,katadatacoid,user_32616,Kondisi ekonomi hijau terus mantap! #cuan [3049],0,2023-01-02 01:03:39.541318043,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock18/,5259,378
2023-01-01,cnbcindonesia,user_60040,Market sangat bagus fundamental kuat. [7295],5,2023-01-02 04:16:01.738057935,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock19/,5853,478
2023-01-01,cnbcindonesia,user_62135,Asing crash resesi di depan mata. [3869],25,2023-01-01 22:08:23.934797826,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock20/,4995,261
2023-01-01,bisniscom,user_41818,Ekonomi anjlok cut loss mending. [5555],5,2023-01-02 13:51:46.131537717,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock21/,5878,276
2023-01-01,kontannews,user_6600,Asing turun tajam cut loss mending. [8022],1,2023-01-02 11:00:08.328277609,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock22/,3929,348
2023-01-01,bisniscom,user_19711,Porto boncos gak jelas! 🤬 [2060],2,2023-01-02 03:24:30.525017500,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock23/,4547,377
2023-01-01,idx_channel,user_33745,IHSG sangat bagus untuk jangka panjang. [2816],13,2023-01-02 08:50:52.721757391,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock24/,5635,191
2023-01-02,katadatacoid,user_28751,Saham hijau terus untuk jangka panjang. [1784],5,2023-01-02 04:25:14.918497283,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock25/,3622,206
2023-01-02,katadatacoid,user_90912,IHSG berapa target wait and see. [6625],4,2023-01-02 01:37:37.115237174,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock26/,6330,398
2023-01-02,bisniscom,user_11966,Inflasi menunggu rilis bulan ini. [6919],5,2023-01-02 03:06:59.311977065,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock27/,7314,113
2023-01-02,idx_channel,user_54006,Perbankan apa dampaknya wait and see. [5777],2,2023-01-02 10:38:21.508716957,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock28/,5966,248
2023-01-02,bisniscom,user_67412,Kebijakan BI rebound fundamental kuat. [5869],1,2023-01-03 03:06:43.705456848,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock29/,7143,363
2023-01-02,bisniscom,user_92794,Saham menguntungkan untuk jangka panjang. [2693],7,2023-01-02 19:02:05.902196739,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock30/,6592,256
2023-01-02,katadatacoid,user_75740,Kebijakan BI naik mantap! #cuan [2931],0,2023-01-02 16:43:28.098936631,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock31/,4525,234
2023-01-02,cnbcindonesia,user_30375,Asing anjlok ngeri bgt. [5070],4,2023-01-02 20:17:50.295676522,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock32/,3816,322
2023-01-02,cnbcindonesia,user_96981,Kebijakan boncos cut loss mending. [3141],19,2023-01-02 15:39:12.492416413,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock33/,4073,294
2023-01-02,idx_channel,user_24049,IHSG turun tajam ngeri bgt. [6881],14,2023-01-03 03:48:34.689156305,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock34/,4871,253
2023-01-02,katadatacoid,user_28663,IHSG berapa target akhir tahun? [5611],0,2023-01-02 14:20:56.885896196,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock35/,5069,261
2023-01-02,kontannews,user_92680,Inflasi menunggu rilis lebih detail? [3427],3,2023-01-02 22:32:19.082636087,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock36/,5446,413
2023-01-02,cnbcindonesia,user_87027,Perbankan tolong jelaskan wait and see. [5380],0,2023-01-03 09:16:41.279375979,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock37/,5280,237
2023-01-02,cnbcindonesia,user_58458,Asing crash resesi di depan mata. [1417],1,2023-01-03 09:18:03.476115870,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock38/,3957,432
2023-01-02,kontannews,user_93920,Inflasi apa dampaknya akhir tahun? [8164],3,2023-01-02 21:33:25.672855761,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock39/,6870,468
2023-01-02,kontannews,user_21150,Market anjlok ngeri bgt. [4440],6,2023-01-02 18:31:47.869595653,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock40/,4373,165
2023-01-02,cnbcindonesia,user_40954,IHSG turun tajam ngeri bgt. [1698],2,2023-01-02 22:29:10.066335544,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock41/,5392,287
2023-01-02,bisniscom,user_90112,Asing boncos gak jelas! 🤬 [5491],4,2023-01-03 12:26:32.263075435,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock42/,4657,324
2023-01-02,idx_channel,user_39102,Porto bearish resesi di depan mata. [8330],3,2023-01-03 04:47:54.459815327,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock43/,5090,308
2023-01-02,idx_channel,user_84460,IHSG hijau terus waktunya serok bawah 🚀 [3681],3,2023-01-03 00:27:16.656555218,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock44/,6060,323
2023-01-02,bisniscom,user_90339,Investasi meroket inflasi terkendali. [4141],0,2023-01-03 03:11:38.853295109,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock45/,6478,212
2023-01-02,katadatacoid,user_10435,Suku bunga berapa target akhir tahun? [5849],4,2023-01-03 04:41:01.050035001,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock46/,5647,353
2023-01-02,cnbcindonesia,user_29016,Kebijakan turun tajam cut loss mending. [2214],0,2023-01-03 13:12:23.246774892,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock47/,5224,301
2023-01-02,idx_channel,user_18640,Market menguntungkan mantap! #cuan [7190],1,2023-01-03 18:08:45.443514783,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock48/,7153,223
2023-01-02,kontannews,user_11975,IHSG tolong jelaskan wait and see. [2353],0,2023-01-03 05:38:07.640254675,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock49/,7189,219
2023-01-03,katadatacoid,user_28355,Saham hijau terus fundamental kuat. [1539],2,2023-01-03 12:58:29.836994566,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock50/,3087,336
2023-01-03,bisniscom,user_46445,Asing boncos gak jelas! 🤬 [4324],14,2023-01-03 05:52:52.033734457,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock51/,5780,315
2023-01-03,katadatacoid,user_2015,Perbankan tolong jelaskan akhir tahun? [6124],2,2023-01-03 20:44:14.230474349,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock52/,5340,298
2023-01-03,kontannews,user_87704,IHSG turun tajam gak jelas! 🤬 [7938],9,2023-01-03 05:18:36.427214240,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock53/,3405,240
2023-01-03,bisniscom,user_24524,Market tolong jelaskan akhir tahun? [8190],6,2023-01-03 16:25:58.623954131,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock54/,4549,362
2023-01-03,cnbcindonesia,user_22949,Market bullish inflasi terkendali. [8939],10,2023-01-03 13:38:20.820694023,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock55/,3465,427
2023-01-03,katadatacoid,user_43944,Porto turun tajam gak jelas! 🤬 [5363],4,2023-01-03 12:57:43.017433914,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock56/,4436,553
2023-01-03,idx_channel,user_7949,Market hancur gak jelas! 🤬 [7881],4,2023-01-03 20:45:05.214173805,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock57/,4131,311
2023-01-03,katadatacoid,user_71390,Porto anjlok pada kabur. [5637],3,2023-01-03 09:46:27.410913697,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock58/,4985,379
2023-01-03,bisniscom,user_70836,Kebijakan BI hijau terus inflasi terkendali. [6569],1,2023-01-03 10:06:49.607653588,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock59/,4877,292
2023-01-03,cnbcindonesia,user_84807,Ekonomi turun tajam pada kabur. [9472],3,2023-01-03 11:55:11.804393479,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock60/,5076,335
2023-01-03,kontannews,user_37668,Kebijakan BI hijau terus fundamental kuat. [5777],0,2023-01-04 01:18:34.001133371,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock61/,4892,196
2023-01-03,katadatacoid,user_24321,IHSG menunggu rilis akhir tahun? [8240],8,2023-01-04 07:23:56.197873262,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock62/,5122,497
2023-01-03,kontannews,user_88731,Market apa dampaknya bulan ini. [2276],1,2023-01-03 23:56:18.394613153,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock63/,4964,305
2023-01-03,bisniscom,user_16034,Market boncos resesi di depan mata. [5621],1,2023-01-04 07:26:40.591353045,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock64/,5866,347
2023-01-03,kontannews,user_35674,Asing crash resesi di depan mata. [7949],1,2023-01-03 23:19:02.788092936,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock65/,5259,170
2023-01-03,cnbcindonesia,user_4596,Saham naik fundamental kuat. [5632],4,2023-01-04 15:50:24.984832827,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock66/,4992,447
2023-01-03,bisniscom,user_73274,Market bearish cut loss mending. [7891],2,2023-01-04 03:23:47.181572719,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock67/,6395,169
2023-01-03,katadatacoid,user_28285,Market bullish inflasi terkendali. [2460],1,2023-01-04 04:33:09.378312610,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock68/,4618,258
2023-01-03,cnbcindonesia,user_17389,Market rebound inflasi terkendali. [6342],2,2023-01-03 20:22:31.575052501,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock69/,5237,327
